4,minspantree,greedy,grasp,extra_mileage
att48,0.000000,39236.884898,40147.964977,34273.000414,
berlin52,0.000000,8182.191556,8158.664754,8105.778124,
ch130,0.000000,7203.659605,7176.534499,6675.823604,
ch150,0.000000,7092.705181,7078.444682,7038.289088,
