4,minspantree,greedy,grasp,extra_mileage
att48,10000.000000,0.000000,0.000000,10000.000000
berlin52,10000.000000,0.000000,3311.000000,10000.000000
ch130,10000.000000,0.000000,300.000000,10000.000000
ch150,10000.000000,0.000000,0.000000,10000.000000
