1,minspantree
random570966,0.000000
1,minspantree
random570966,0.000000
1,minspantree
random570966,0.000000
1,minspantree
random570966,0.000000
1,minspantree
random570966,0.000000
1,minspantree
random570966,0.000000
1,minspantree
random570966,0.000000
1,minspantree
random570966,0.000000
1,minspantree
random570966,0.000000
1,minspantree
random570966,0.000000
1,minspantree
random570966,0.000000
1,extra_mileage
random871032,0.000000
1,extra_mileage
random871032,0.000000
0,0,0,0,0,1,grasp
random883820,10001.000000
1,grasp
a280,10000.000000
